STATION,NAME,DATE,TAVG,TMAX,TMIN
TZ000063862,"DODOMA, TZ",2019-12-06,77,,68
TZ000063862,"DODOMA, TZ",2019-12-07,78,89,
TZ000063862,"DODOMA, TZ",2019-12-08,71,80,
TZ000063862,"DODOMA, TZ",2019-12-09,74,85,65
TZ000063862,"DODOMA, TZ",2019-12-10,73,82,
TZ000063862,"DODOMA, TZ",2019-12-11,74,84,67
TZ000063862,"DODOMA, TZ",2019-12-12,74,85,67
TZ000063862,"DODOMA, TZ",2019-12-13,76,87,
TZ000063862,"DODOMA, TZ",2019-12-14,77,87,68
TZ000063862,"DODOMA, TZ",2019-12-15,76,87,67
TZ000063862,"DODOMA, TZ",2019-12-16,78,89,
TZ000063862,"DODOMA, TZ",2019-12-17,70,78,
TZ000063862,"DODOMA, TZ",2019-12-18,73,,
TZ000063862,"DODOMA, TZ",2019-12-19,76,85,
TZ000063862,"DODOMA, TZ",2019-12-20,71,76,
TZ000063862,"DODOMA, TZ",2019-12-21,71,80,
TZ000063862,"DODOMA, TZ",2019-12-22,72,83,
TZ000063862,"DODOMA, TZ",2019-12-23,74,81,67
TZ000063862,"DODOMA, TZ",2019-12-24,73,83,66
TZ000063862,"DODOMA, TZ",2019-12-25,75,85,69
TZ000063862,"DODOMA, TZ",2019-12-26,74,85,65
TZ000063862,"DODOMA, TZ",2019-12-27,76,85,
TZ000063862,"DODOMA, TZ",2019-12-28,72,76,
TZ000063862,"DODOMA, TZ",2019-12-29,74,83,
TZ000063862,"DODOMA, TZ",2019-12-30,72,84,
TZ000063862,"DODOMA, TZ",2019-12-31,73,,
TZ000063862,"DODOMA, TZ",2020-01-01,78,,
TZ000063862,"DODOMA, TZ",2020-01-02,77,87,69
TZ000063862,"DODOMA, TZ",2020-01-03,76,86,69
TZ000063862,"DODOMA, TZ",2020-01-04,75,85,67
TZ000063862,"DODOMA, TZ",2020-01-05,76,89,68
TZ000063862,"DODOMA, TZ",2020-01-06,76,86,
TZ000063862,"DODOMA, TZ",2020-01-07,77,87,67
TZ000063862,"DODOMA, TZ",2020-01-08,74,87,
TZ000063862,"DODOMA, TZ",2020-01-09,75,,
TZ000063862,"DODOMA, TZ",2020-01-10,73,,67
TZ000063862,"DODOMA, TZ",2020-01-11,72,86,
TZ000063862,"DODOMA, TZ",2020-01-12,70,78,
TZ000063862,"DODOMA, TZ",2020-01-13,76,85,65
TZ000063862,"DODOMA, TZ",2020-01-14,75,85,
TZ000063862,"DODOMA, TZ",2020-01-15,74,85,69
TZ000063862,"DODOMA, TZ",2020-01-16,73,83,
TZ000063862,"DODOMA, TZ",2020-01-17,75,,
TZ000063862,"DODOMA, TZ",2020-01-18,70,77,
TZ000063862,"DODOMA, TZ",2020-01-19,72,84,
TZ000063862,"DODOMA, TZ",2020-01-20,75,84,
TZ000063862,"DODOMA, TZ",2020-01-21,76,85,67
TZ000063862,"DODOMA, TZ",2020-01-22,75,93,70
TZ000063862,"DODOMA, TZ",2020-01-23,72,,
TZ000063862,"DODOMA, TZ",2020-01-24,73,83,
TZ000063862,"DODOMA, TZ",2020-01-25,72,77,70
TZ000063862,"DODOMA, TZ",2020-01-26,73,82,
TZ000063862,"DODOMA, TZ",2020-01-27,72,83,
TZ000063862,"DODOMA, TZ",2020-01-28,71,,
TZ000063862,"DODOMA, TZ",2020-01-29,73,,66
TZ000063862,"DODOMA, TZ",2020-01-30,72,82,67
TZ000063862,"DODOMA, TZ",2020-01-31,71,83,68
TZ000063862,"DODOMA, TZ",2020-02-01,71,,66
TZ000063862,"DODOMA, TZ",2020-02-02,71,81,66
TZ000063862,"DODOMA, TZ",2020-02-03,73,85,
TZ000063862,"DODOMA, TZ",2020-02-04,73,85,
TZ000063862,"DODOMA, TZ",2020-02-05,74,83,
TZ000063862,"DODOMA, TZ",2020-02-06,71,80,
TZ000063862,"DODOMA, TZ",2020-02-07,77,86,67
TZ000063862,"DODOMA, TZ",2020-02-08,75,85,
TZ000063862,"DODOMA, TZ",2020-02-09,76,87,
TZ000063862,"DODOMA, TZ",2020-02-10,77,87,
TZ000063862,"DODOMA, TZ",2020-02-11,78,89,68
TZ000063862,"DODOMA, TZ",2020-02-12,75,87,68
TZ000063862,"DODOMA, TZ",2020-02-13,74,85,70
TZ000063862,"DODOMA, TZ",2020-02-14,72,82,
TZ000063862,"DODOMA, TZ",2020-02-15,75,85,67
TZ000063862,"DODOMA, TZ",2020-02-16,74,,67
TZ000063862,"DODOMA, TZ",2020-02-17,76,,67
TZ000063862,"DODOMA, TZ",2020-02-18,75,,68
TZ000063862,"DODOMA, TZ",2020-02-19,77,87,
TZ000063862,"DODOMA, TZ",2020-02-20,76,89,68
TZ000063862,"DODOMA, TZ",2020-02-21,77,88,67
TZ000063862,"DODOMA, TZ",2020-02-22,78,88,69
TZ000063862,"DODOMA, TZ",2020-02-23,78,89,
TZ000063862,"DODOMA, TZ",2020-02-24,77,,
TZ000063862,"DODOMA, TZ",2020-02-25,72,,57
TZ000063862,"DODOMA, TZ",2020-02-26,76,,69
TZ000063862,"DODOMA, TZ",2020-02-27,76,88,
TZ000063862,"DODOMA, TZ",2020-02-28,73,82,67
TZ000063862,"DODOMA, TZ",2020-02-29,76,86,
TZ000063862,"DODOMA, TZ",2020-03-01,74,83,
TZ000063862,"DODOMA, TZ",2020-03-02,71,82,
TZ000063862,"DODOMA, TZ",2020-03-03,72,84,
TZ000063862,"DODOMA, TZ",2020-03-04,67,71,
TZ000063862,"DODOMA, TZ",2020-03-05,73,84,64
TZ000063862,"DODOMA, TZ",2020-03-06,71,84,66
TZ000063862,"DODOMA, TZ",2020-03-07,75,,
TZ000063862,"DODOMA, TZ",2020-03-08,76,,69
TZ000063862,"DODOMA, TZ",2020-03-09,73,83,
TZ000063862,"DODOMA, TZ",2020-03-10,75,,
TZ000063862,"DODOMA, TZ",2020-03-11,74,83,69
TZ000063862,"DODOMA, TZ",2020-03-12,74,85,
TZ000063862,"DODOMA, TZ",2020-03-13,71,,68
TZ000063862,"DODOMA, TZ",2020-03-14,72,84,
TZ000063862,"DODOMA, TZ",2020-03-15,77,87,67
TZ000063862,"DODOMA, TZ",2020-03-16,74,84,
TZ000063862,"DODOMA, TZ",2020-03-17,71,83,
TZ000063862,"DODOMA, TZ",2020-03-18,71,83,66
TZ000063862,"DODOMA, TZ",2020-03-19,72,79,
TZ000063862,"DODOMA, TZ",2020-03-20,74,85,
TZ000063862,"DODOMA, TZ",2020-03-21,74,84,67
TZ000063862,"DODOMA, TZ",2020-03-22,73,,66
TZ000063862,"DODOMA, TZ",2020-03-23,74,82,68
TZ000063862,"DODOMA, TZ",2020-03-24,73,,
TZ000063862,"DODOMA, TZ",2020-03-25,74,85,
TZ000063862,"DODOMA, TZ",2020-03-26,76,86,68
TZ000063862,"DODOMA, TZ",2020-03-27,71,81,
TZ000063862,"DODOMA, TZ",2020-03-28,73,81,
TZ000063862,"DODOMA, TZ",2020-03-29,72,,66
TZ000063862,"DODOMA, TZ",2020-03-30,75,86,
TZ000063862,"DODOMA, TZ",2020-03-31,75,,68
TZ000063862,"DODOMA, TZ",2020-04-01,75,86,
TZ000063862,"DODOMA, TZ",2020-04-02,74,,
